currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,reservationTerm
USD,0.0,744.0,744.0,westus2,US West 2,2020-06-01T00:00:00Z,558db85f-451b-5b41-bc86-e9cfa25091a5,E2ds v4,DZH318Z0CSHK,DZH318Z0CSHK/01CD,Virtual Machines Edsv4 Series,E2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E2ds_v4,1 Year
USD,0.0,0.944,0.944,westus2,US West 2,2020-06-01T00:00:00Z,55c3f72d-4c0f-5ff8-a106-004b63abb1d1,E8ds v4,DZH318Z0CSHB,DZH318Z0CSHB/0061,Virtual Machines Edsv4 Series Windows,E8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8ds_v4,
USD,0.0,0.576,0.576,westus2,US West 2,2020-06-01T00:00:00Z,55c3f72d-4c0f-5ff8-a106-004b63abb1d1,E8ds v4,DZH318Z0CSHB,DZH318Z0CSHB/0061,Virtual Machines Edsv4 Series Windows,E8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E8ds_v4,
USD,0.0,0.944,0.944,westus2,US West 2,2020-06-01T00:00:00Z,5a987852-0ca3-549d-9825-1a1c30bf832d,E8-4ds v4,DZH318Z0CSHB,DZH318Z0CSHB/006B,Virtual Machines Edsv4 Series Windows,E8-4ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-4ds_v4,
USD,0.0,0.576,0.576,westus2,US West 2,2020-06-01T00:00:00Z,5a987852-0ca3-549d-9825-1a1c30bf832d,E8-4ds v4,DZH318Z0CSHB,DZH318Z0CSHB/006B,Virtual Machines Edsv4 Series Windows,E8-4ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_E8-4ds_v4,
USD,0.0,1.64,1.64,westus2,US West 2,2020-06-01T00:00:00Z,5c7bc7f1-e7a0-506e-a338-c935d2df6f35,D16d v4,DZH318Z0D1L6,DZH318Z0D1L6/003F,Virtual Machines Ddv4 Series Windows,D16d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16d_v4,
USD,0.0,0.904,0.904,westus2,US West 2,2020-06-01T00:00:00Z,5c7bc7f1-e7a0-506e-a338-c935d2df6f35,D16d v4,DZH318Z0D1L6,DZH318Z0D1L6/003F,Virtual Machines Ddv4 Series Windows,D16d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,Standard_D16d_v4,
USD,0.0,4.608,4.608,westus2,US West 2,2020-06-01T00:00:00Z,6597fdb1-b743-5119-a4eb-233a35bab0dc,E64d v4,DZH318Z0D1L5,DZH318Z0D1L5/005G,Virtual Machines Edv4 Series,E64d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64d_v4,
USD,0.0,46017.0,46017.0,westus2,US West 2,2020-08-01T00:00:00Z,6597fdb1-b743-5119-a4eb-233a35bab0dc,E64d v4,DZH318Z0D1L5,DZH318Z0D1L5/005H,Virtual Machines Edv4 Series,E64d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64d_v4,3 Years
USD,0.0,23816.0,23816.0,westus2,US West 2,2020-06-01T00:00:00Z,6597fdb1-b743-5119-a4eb-233a35bab0dc,E64d v4,DZH318Z0D1L5,DZH318Z0D1L5/005J,Virtual Machines Edv4 Series,E64d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_E64d_v4,1 Year
